year,month,Afghanistan,Albania,Algeria,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan Rep. of,Bahamas The,Bahrain Kingdom of,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Rep.,Chad,Chile,"China, PR",Colombia,Comoros,Congo Dem. Rep. of,Congo Rep. of,Costa Rica,"Cote D""Ivoire",Croatia,Curacao,Cyprus,Czech Rep.,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia The,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Korea,Kuwait,Kyrgyz Rep.,Lao Dem. Rep.,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtesntein,Lithuania,Luxembourg,Macao,Macedonia FYR,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,Netherlands Antilles,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Palau,Panama,PNG,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Samoa,San Marino,Sao Tome & Principe,Saudi Arabia,Senegal,"Serbia, Rep. of",Seychelles,Sierra Leone,Singapore,Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St Vincent & Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Rep.,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,UAE,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,West Bank and Gaza,Yemen Rep. of,Zambia,Zimbabwe
2009,8,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,5,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,3,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2009,9,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,5,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,3,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2009,10,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,5,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,3,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2009,11,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,5,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,3,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2009,12,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,5,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,3,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2010,1,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,5,3,5,2,1,2,3,1
2010,2,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,5,3,5,2,1,2,3,1
2010,3,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,5,3,5,2,1,2,3,1
2010,4,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,5,3,5,2,1,2,3,1
2010,5,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,5,3,5,2,1,2,3,1
2010,6,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,5,3,5,2,1,2,3,1
2010,7,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2010,8,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2010,9,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2010,10,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2010,11,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,2,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2010,12,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,5,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,1,2,2,2,1,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,2,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,1,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,3,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,4,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,5,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,2,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,6,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,5,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,3,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,7,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,5,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,2,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,8,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,5,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,2,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,3,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,9,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,5,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,2,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,1,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,10,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,5,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,2,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,1,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,11,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,5,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,2,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,1,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2011,12,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,5,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,2,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,2,2,1,3,1,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2012,1,2,2,2,2,1,1,2,2,1,4,1,1,1,1,2,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,5,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,2,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,5,2,1,3,1,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2012,2,2,2,2,2,1,1,2,2,1,4,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,5,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,2,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,5,2,1,3,1,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
2012,3,2,2,2,2,1,1,2,2,1,4,1,1,1,1,1,1,5,1,1,1,1,1,1,1,2,3,1,1,1,6,1,1,1,4,1,1,3,1,3,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,3,2,1,3,1,1,2,2,1,1,2,2,1,2,3,3,2,5,1,1,3,1,2,4,1,2,2,1,3,1,2,2,1,1,1,2,2,1,1,1,1,1,3,2,3,1,1,1,1,2,2,3,1,2,1,2,1,1,2,2,1,1,1,1,3,2,1,2,3,1,2,1,1,2,3,3,2,3,1,1,2,3,2,2,1,1,1,1,2,3,2,3,1,1,2,MISSING,4,1,2,1,1,1,5,2,1,3,1,3,2,2,3,1,2,1,2,3,1,3,1,1,4,4,3,2,3,5,2,1,2,3,1
